Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbusp.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbusp.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbusp.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbusp.android,DefaultAndroidMainThreadSupport,createPoster,Magic Number
EventBus,org.greenrobot.eventbusperf,TestRunner,run,Empty catch clause
EventBus,org.greenrobot.eventbusperf,TestRunner,run,Magic Number
EventBus,org.greenrobot.eventbusperf,TestRunner,run,Magic Number
EventBus,org.greenrobot.eventbusperf,TestRunnerActivity,onEventMainThread,Long Statement
EventBus,org.greenrobot.eventbusperf,TestResult,getPrimaryResultRate,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,PerfTestEventBus,Long Statement
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,getSubscriberClassForThreadMode,Missing default
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Long Statement
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Long Statement
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
